word,count,freq
special,19,3.230089473478415e-05
note,26,4.420122437391516e-05
in,8775,0.014917913226196365
this,1664,0.00282887835993057
reprint,1,1.7000470913044292e-06
several,88,0.00014960414403478975
minor,3,5.100141273913288e-06
inaccuracies,1,1.7000470913044292e-06
most,309,0.0005253145512130686
of,15551,0.02643743231687518
them,2639,0.004486424273952389
noted,11,1.870051800434872e-05
by,1648,0.0028016776064696994
readers,6,1.0200282547826575e-05
have,2964,0.005038939578626328
been,1161,0.0019737546730044424
corrected,4,6.800188365217717e-06
for,4287,0.007288101880422088
example,2,3.4000941826088584e-06
the,35267,0.0599555607690333
rune,7,1.1900329639131004e-05
text,3,5.100141273913288e-06
now,2425,0.004122614196413241
corresponds,1,1.7000470913044292e-06
exactly,14,2.3800659278262007e-05
with,3673,0.0062442729663611685
runes,25,4.250117728261073e-05
on,3837,0.006523080689335095
thror,20,3.400094182608858e-05
s,2844,0.0048349339276697965
map,23,3.910108310000187e-05
more,1344,0.0022848632907131526
important,42,7.140197783478602e-05
is,3819,0.006492479841691615
matter,110,0.00018700518004348722
chapter,152,0.0002584071578782732
five,92,0.0001564043324000075
there,3159,0.005370448761430692
tr,12,2.040056509565315e-05
ue,4,6.800188365217717e-06
story,91,0.00015470428530870304
ending,34,5.780160110435059e-05
riddle,26,4.420122437391516e-05
game,29,4.930136564782844e-05
as,4190,0.007123197312565558
it,7845,0.013336869431283246
was,7029,0.011949631004778832
eventually,11,1.870051800434872e-05
revealed,27,4.5901271465219586e-05
under,589,0.0010013277367783087
pressure,3,5.100141273913288e-06
bilbo,913,0.001552142994360944
to,12069,0.020517868344953154
gandalf,1285,0.0021845605123261913
given,107,0.00018190503876957392
according,29,4.930136564782844e-05
red,259,0.00044031219664784714
book,75,0.0001275035318478322
place,301,0.0005117141744826331
version,2,3.4000941826088584e-06
first,507,0.0008619238752913456
gave,236,0.0004012111135478453
his,5316,0.009037450337374344
friends,218,0.00037061026590436553
and,24357,0.04140804700290198
actually,38,6.46017894695683e-05
set,377,0.0006409177534217698
down,1462,0.0024854688474870755
diary,6,1.0200282547826575e-05
departu,1,1.7000470913044292e-06
re,237,0.0004029111606391497
from,2441,0.004149814949874112
truth,69,0.0001173032493000056
part,187,0.00031790880607392825
